timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/04 09:09:18.297, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.398, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.499, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.600, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.701, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.801, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:18.902, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.003, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.104, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.204, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.305, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.406, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.507, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.608, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.708, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.809, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:19.910, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.011, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.111, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.212, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.313, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.414, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.515, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.616, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.717, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.818, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:20.918, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:21.019, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:21.120, 7, 24576, 6, 24253, 0, 0
2023/05/04 09:09:21.222, 7, 24576, 6, 24253, 0, 0
