timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2023/05/04 08:55:33.029, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.130, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.231, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.332, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.432, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.533, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.634, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.735, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.835, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:33.936, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.037, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.137, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.238, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.339, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.440, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.541, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.641, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.742, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.843, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:34.944, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.044, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.145, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.246, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.347, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.447, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.548, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.649, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.750, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.852, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:35.952, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:36.053, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:36.154, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:36.255, 7, 24576, 6, 24253, 0, 0
2023/05/04 08:55:36.356, 7, 24576, 6, 24253, 0, 0
